_id,FISCAL_YEAR,CAR_CHC_ID,REFERENCE_NUMBER,SELECTION_PROCESS_NUMBER,CREATION_DATE,OPEN_DATE,CLOSE_DATE,DAYS_TO_OPEN,NUMBER_DAYS_OPEN,INTERNAL_INDICATOR,EXTERNAL_INDICATOR,POSITION_TITLE_E,POSITION_TITLE_F,CLASSIFICATIONS,CLASSIFICATION_COUNT,PSC_ADMIN,NATIONAL,EE_ORGANIZ_GENDER,EE_ORGANIZ_VISMIN,SCRNG_TOOL_OFFICIAL_LANGUAGE,SCRNG_TOOL_SCREENING_QUESTIONS,SCRNG_TOOL_TEXT_QUESTIONS,SCRNG_TOOL_EXP_QUESTIONNAIRE,SCRNG_TOOL_UIT,SCRNG_TOOL_EDUCATION,INDETERMINATE,SPECIFIED_TERM,ACTING,ASSIGNMENT,DEPLOYMENT,SECONDMENT,VARIOUS_WORK_LOCATION,PROV_CNT,CAF_SUBMITTED,CAF_IN,CAF_OUT,NOC,NAPA,NAA,administrator_region_e,administrator_region_f,advertisement_type_e,advertisement_type_f,city_count,city_name_e,city_name_f,organization_e,organization_f,organization_code,advertisement_url_e,advertisement_url_f,recruitment_program_e,recruitment_program_f,province_name_e,province_name_f,psea_e,psea_f,source_system_e,source_system_f,status_e,status_f,ee_criterion_gender,ee_criterion_indigenous,ee_criterion_vismin,ee_criterion_pwd,ee_organiz_pwd,ee_organiz_indigenous,TOTAL_SUBMITTED_SUP,TOTAL_IN_SUP,TOTAL_OUT_SUP,SCRNG_TOOL_OCC_CERT,women_submitted_SUP,vismin_submitted_SUP,indigenous_submitted_SUP,pwd_submitted_SUP,french_submitted_SUP,english_submitted_SUP,citizen_submitted_SUP,permanent_resident_submitted_SUP,ee_submitted_SUP
1,2023-2024,1, , ,26JAN2017,31JAN2017, ,5,2345,0,1,ONGOING STUDENT RECRUITMENT,RECRUTEMENT CONTINU D'ETUDIANT, , ,1,1, , , , , , , , , , , , , , ,1,0, , , , , , , , ,Inventory Advertisement,Affiche de repertoire,0, , ,Public Service Commission of Canada,Commission de la fonction publique du Canada,PSC, , ,FSWEP,PFETE,NA,S. O.,YES,OUI,SRS,SRE,Closed,Fermé, , , , , , ,83203,*,*, ,1166,28928,2050,5658,15040,66991,58585,*,33977
2,2023-2024,1526934,DND20J-011205-000630,21-DND-EA-CFHQB-470946,01DEC2020,07APR2021,06APR2023,126,729,0,1,Customer Services Representative (Inventory),Représentant(e) des services à la clientèle (inventaire),CR05,1,0,1,1,1,1,1, , , , ,1,1, , , , ,1,10,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,23,MULTIPLE,MULTIPLE,National Defence,Defense nationale,DND,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1526934&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1526934&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,678,594,84, ,417,262,22,50,94,584,424,*,535
3,2023-2024,1566919,SVC21J-012505-000591,2021-SVC-EA-QUE-387428,24FEB2021,12APR2021,09APR2023,46,727,0,1,"Inventory Clerical Positions *WORK LOCATION: MATANE, QC*","Répertoire Postes de bureau *LIEU DE TRAVAIL : MATANE, QC*",CR03,1,0,1,1,1,1,1, , , , ,1,1, , , , ,0,1,0,0, , , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,1,Matane,Matane,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1566919&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1566919&toggleLanguage=fr,JOP,POP,Quebec,Québec,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,16,16,*, ,*,*,*,*,10,6,12,*,9
4,2023-2024,1567404,INF21J-021587-000060,2022-23-INFC-INV-0004,25FEB2021,23JAN2023,30JUN2023,696,158,0,1,Become a Casual at Infrastructure Canada! (Inventory),Devenez un(e) occasionnel(le) à Infrastructure Canada! (Répertoire),"AS01,AS02,AS03,AS04,AS05,AS06,AS07,CR04,CR05,EC02,EC03,EC04,EC05,EC06,EC07,ENENG02,ENENG03,ENENG04,EX01,FI01,FI02,FI03,FI04,IS02,IS03,IS04,IS05,IS06,IT01,IT02,IT03,IT04,PC02,PC03,PC04,PE01,PE02,PE03,PE04,PE05,PE06,PG02,PG03,PG04,PG05,PM02,PM03,PM04,PM05,PM06",50,0,1,1,1,1, , , , , , ,1, , , , ,1,3,0,0, , , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,Infrastructure Canada,Infrastructure Canada,INF,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1567404&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1567404&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,884,884,*, ,406,409,24,91,209,675,740,*,655
5,2023-2024,1578669,EXT21J-022523-000386,21-EXT-IA-KP-1030322,17MAR2021,11MAY2021,10MAY2023,54,729,1,0,At level Inventory for several FI positions,Répertoire à niveau pour plusieurs postes FI,"FI01,FI02,FI03,FI04",4,0, ,0,0,1,1, , , , , , ,1,1,1, ,0,1,0,0, , , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,1,Gatineau,Gatineau,Global Affairs Canada,Affaires mondiales Canada,EXT,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1578669&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1578669&toggleLanguage=fr,INT,INT,Quebec,Québec,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,92,92,*, ,58,58,*,6,43,49,88,*,80
6,2023-2024,1587556,MOT21J-020838-000138,21-MOT-EA-HRS-23225,06APR2021,07JUN2021,06JUN2023,61,729,0,1,Senior Marine Safety Inspector,Inspecteur(trice) principal(e) de la sécurité maritime,TI07,1,0,1,1,1,1, ,1, , , ,1, , , , , ,1,1,0,0, , , , ,Ontario,Ontario,Inventory Advertisement,Affiche de repertoire,5,MULTIPLE,MULTIPLE,Transport Canada,Transports Canada,MOT,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1587556&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1587556&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,55,55,*, ,*,17,*,*,*,*,26,*,20
7,2023-2024,1595461,CSD21J-014885-000928,2021-CSD-EA-NHQ-0051552,22APR2021,23DEC2021,22DEC2023,244,729,0,1,Program Advisor - Editing positions,Conseiller(ère) en matière de programme - Postes de révision,PM03,1,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,1,Ottawa,Ottawa,Employment and Social Development Canada,Emploi et Developpement social Canada,CSD,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1595461&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1595461&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,237,234,*, ,154,100,*,24,124,113,195,*,193
8,2023-2024,1600087,CSD21J-014967-000878,2021-CSD-EA-NHQ-0065245,03MAY2021,14MAY2021,12MAY2023,10,728,0,1,Early Resolution Officer - Inventory,Agent(e) dintervention préventive - Inventaire,PM02,1,0,1,0,0,1,1, , , , ,1,1, , , , ,1,6,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,6,MULTIPLE,MULTIPLE,Employment and Social Development Canada,Emploi et Developpement social Canada,CSD,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1600087&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1600087&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,650,620,30, ,375,229,28,79,59,591,456,*,513
9,2023-2024,1601953,DOE21J-019305-000309,21-DOE-ATL-IA-393217,05MAY2021,10MAY2021,09MAY2023,4,729,1,0,Human Resources Assistant - Inventory,Adjoint(e) en ressources humaines - Répertoire,CR05,1,0, ,0,1,1,1, , , , , , ,1,1,1, ,1,7,3,2,1, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,11,MULTIPLE,MULTIPLE,Environment and Climate Change Canada,Environnement et Changement climatique Canada,DOE,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1601953&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1601953&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,240,138,102, ,185,84,10,27,88,152,224,*,218
10,2023-2024,1602108,RCM21J-021207-000510,21-RCM-EA-X-J-FRED-GUARDS-99445,05MAY2021,31MAY2021,30MAY2023,25,729,0,1,RCMP Jail Guard,Garde de prison  GRC,GSMPS02,1,0,1,0,0,1, , , , , , ,1, , , , ,1,1,0,0, , , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,3,MULTIPLE,MULTIPLE,Royal Canadian Mounted Police,Gendarmerie royale du Canada,RCM,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1602108&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1602108&toggleLanguage=fr,JOP,POP,New Brunswick,Nouveau-Brunswick,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,46,46,*, ,15,9,*,*,10,36,31,*,23
